Word,Rating.Mean,
infelicitous,15.57,
ingathering,13.08,
inglenook,16.14,
inkpad,8.00,
inkstand,10.85,
insalubrious,15.75,
insolubility,13.53,
insomuch,13.27,
inspirit,14.00,
integument,17.17,
interline,13.86,
interne,14.80,
internuncio,14.50,
interposition,12.32,
interrelate,14.33,
interstice,17.40,
intestate,13.09,
intimation,12.59,
intrados,18.50,
irascibility,15.78,
irenic,17.67,
ironingboard,6.58,
isobar,16.58,
isomeric,16.08,
isthmian,15.50,
jabot,16.25,
jacinth,12.00,
jennet,17.67,
jobholder,11.78,
judicature,17.00,
jumprope,5.80,
karakul,NA,
kedge,NA,
kobold,12.67,
kohlrabi,18.29,
kyat,NA,
laburnum,17.25,
lambast,14.17,
lapboard,9.92,
latitudinarian,13.33,
leafage,12.60,
lenity,14.00,
lexicography,16.50,
licentiate,17.00,
licit,15.50,
lifevest,7.93,
lightbulb,5.89,
lightswitch,5.94,
limekiln,14.83,
limy,14.00,
lionization,17.22,
literalistic,14.38,
logrolling,9.86,
loquacity,15.35,
machinegun,8.74,
macron,13.75,
magistral,14.09,
majuscule,20.00,
make-up,7.44,
malefaction,15.38,
malison,18.00,
malocclusion,16.67,
mapleleaf,9.41,
margrave,15.00,
marmoreal,16.50,
maunder,12.50,
meadowy,9.83,
mensuration,14.62,
metalware,13.64,
metempsychosis,19.00,
milliard,14.00,
millrace,16.17,
minatory,13.33,
misquotation,12.67,
mitigative,16.92,
mobilizer,11.65,
modernist,14.23,
moil,12.00,
moldboard,18.60,
mollification,14.55,
monasterial,13.83,
monaural,17.11,
monomania,15.50,
moralization,14.12,
moralizer,13.83,
moribundity,17.30,
motorization,13.27,
mucilaginous,17.50,
muddleheaded,14.13,
mudguard,13.00,
muskellunge,8.75,
mycological,17.60,
nacre,14.00,
napery,15.00,
natality,15.50,
navigability,11.88,
necessitous,16.12,
needlewoman,12.86,
neptunium,15.17,
nervecell,12.07,
niter,14.25,
noncooperation,11.50,
nones,13.00,
nonmetal,10.83,
nonresistance,12.89,
nonscheduled,11.28,
noontide,12.82,
notability,13.05,
notarial,14.60,
numismatics,15.17,
nursling,14.14,
oboist,14.70,
ochre,13.30,
oillamp,9.97,
okapi,11.22,
oldfashioned,8.61,
openhanded,9.60,
opprobrious,11.00,
orangery,12.30,
ordure,16.25,
oriel,12.25,
osier,14.00,
ostentation,14.72,
overarm,11.00,
overshoe,12.50,
packsaddle,13.14,
pagination,15.50,
palatinate,16.75,
paleography,14.57,
palinode,17.50,
palliation,17.60,
palmate,13.50,
palmtree,7.44,
panchromatic,16.50,
panicle,14.00,
parenthetic,15.20,
parliamentarian,14.05,
parquetry,17.75,
partible,12.40,
passerine,12.00,
paten,13.00,
peculation,NA,
pedicab,14.00,
peduncle,16.00,
pelage,18.00,
pelf,18.00,
pencilsharpener,5.31,
penholder,9.95,
pensioner,14.38,
percipient,16.00,
periphrasis,14.33,
periwig,16.33,
perspicuity,15.71,
pertinacious,16.57,
pestiferous,16.83,
petrifaction,14.07,
pettish,15.00,
phaeton,11.64,
pharisaic,15.60,
pharisaical,14.00,
pharmaceutics,13.88,
pharos,13.91,
philately,18.17,
philology,15.54,
phish,15.38,
phloem,13.60,
phosphatic,14.80,
piaster,15.00,
picot,15.33,
piggybank,5.51,
pilchard,15.00,
pinfeather,12.00,
pinnate,16.33,
pistillate,14.33,
placket,13.20,
platen,17.00,
plenteous,15.38,
plumy,12.12,
pluralization,10.53,
plutocracy,14.95,
plutocrat,12.50,
plutocratic,16.12,
pluvial,16.33,
poesy,12.15,
polyclinic,14.62,
poniard,14.00,
pooltable,7.65,
popeyed,7.27,
portiere,17.67,
postbox,6.65,
postlude,13.56,
postpaid,14.20,
pother,NA,
powerstrip,12.01,
preachment,13.88,
preadolescence,13.25,
preciosity,15.55,
predaceous,13.83,
predestinate,13.53,
predicable,10.53,
prepuce,15.80,
proem,17.50,
prolegomenon,15.00,
prolix,14.00,
promptitude,15.56,
proselyte,13.60,
puddling,8.55,
puissance,16.00,
puncheon,18.17,
punchingbag,7.92,
punctilio,17.50,
purlieu,17.00,
pushchair,9.97,
pushiness,8.50,
pusillanimity,15.50,
quadrangular,13.54,
quadripartite,16.67,
quartette,10.88,
quinsy,14.00,
raceme,18.00,
raillery,13.71,
railroadtracks,7.05,
rancidity,14.25,
rapine,15.88,
rarebit,12.00,
razorblade,7.59,
recency,14.33,
